,SIFT,classlabel
45,[ 3.  1. 12. ...  0.  1. 11.],0.0
46,[0. 0. 2. ... 1. 0. 0.],0.0
47,[58.  7.  0. ...  1.  0.  1.],0.0
48,[13. 12. 97. ...  1.  0.  0.],0.0
49,[26.  1.  3. ... 12. 16. 15.],0.0
50,[34. 65. 72. ...  0.  2.  5.],0.0
51,[ 4.  1.  1. ...  8. 14. 66.],0.0
52,[ 6.  3. 50. ...  1.  0.  1.],0.0
53,[16.  3.  1. ...  0.  0.  0.],0.0
54,[139.  56.   1. ...   0.   0.   0.],0.0
55,[124.  99.  90. ...   0.   0.   0.],0.0
56,[ 8.  2.  0. ... 52. 43. 12.],0.0
57,[32. 80. 28. ...  0.  0.  0.],0.0
58,[0. 0. 0. ... 1. 0. 0.],0.0
59,[11. 25.  3. ...  0.  0.  0.],0.0
60,[48. 15.  0. ...  8.  1.  9.],0.0
61,[0. 0. 0. ... 0. 0. 0.],0.0
62,[ 0.  4. 68. ...  0.  0.  0.],0.0
63,[1. 0. 0. ... 0. 1. 5.],0.0
64,[  1.  33. 161. ...   0.   0.   0.],0.0
65,[ 5. 10. 10. ...  0.  0.  0.],0.0
66,[10.  0.  0. ...  0.  0.  0.],0.0
67,[3. 5. 4. ... 1. 0. 0.],0.0
68,[62. 55.  1. ...  6.  8. 12.],0.0
69,[ 0.  0. 20. ...  0.  0.  2.],0.0
70,[ 75. 121.  22. ...   0.   0.   0.],0.0
71,[ 0.  0.  0. ... 14.  3. 14.],0.0
72,[  0.   9. 114. ...  76.   5.  13.],0.0
73,[19.  3.  3. ...  0.  0.  0.],0.0
74,[17.  2.  3. ...  0.  0.  0.],0.0
75,[ 2.  0.  0. ... 15.  0.  0.],0.0
76,[ 6. 10. 75. ... 26. 75. 36.],0.0
77,[ 1.  0.  2. ... 21.  4.  1.],0.0
78,[  0.   6. 130. ...  82. 127.  68.],0.0
79,[16.  7.  4. ...  6. 12. 15.],0.0
80,[ 2.  0.  0. ... 11.  4.  5.],0.0
81,[ 69.  13.   1. ...  64.  45. 104.],0.0
82,[0. 0. 0. ... 0. 0. 0.],0.0
83,[17. 25. 49. ...  3.  3. 35.],0.0
84,[ 0.  0.  0. ... 21. 11.  4.],0.0
85,[78. 18.  5. ... 40. 57. 28.],0.0
86,[12.  1.  1. ...  0.  0.  0.],0.0
87,[0. 0. 0. ... 0. 0. 2.],0.0
88,[1. 0. 0. ... 1. 2. 8.],0.0
89,[0. 0. 0. ... 0. 0. 3.],0.0
90,[87. 23.  1. ...  0.  0.  0.],0.0
91,[0. 0. 0. ... 0. 0. 0.],0.0
92,[ 0.  0.  0. ... 28.  5. 23.],0.0
93,[13.  7. 40. ...  1.  0.  0.],0.0
94,[7. 4. 0. ... 2. 0. 1.],0.0
95,[ 0.  0.  0. ...  1.  7. 17.],0.0
96,[ 0. 21. 13. ...  0.  6. 79.],0.0
97,[12.  0.  0. ...  1.  0.  0.],0.0
98,[2. 1. 1. ... 1. 0. 4.],0.0
99,[23. 16. 39. ...  0.  0.  2.],0.0
100,[9. 0. 0. ... 0. 0. 0.],0.0
101,[ 2.  1.  0. ...  4. 49. 28.],0.0
102,[ 76. 140.   4. ...  93.  92.  24.],0.0
103,[ 9. 12. 21. ...  0.  0.  0.],0.0
104,[70. 41.  2. ...  0.  0.  0.],0.0
105,[68. 26. 18. ...  0.  1.  3.],0.0
106,[19. 15.  4. ...  0.  1.  5.],0.0
107,[76.  9.  1. ...  0.  0.  0.],0.0
108,[ 26.   9.  67. ... 112.  69.   7.],0.0
109,[ 1.  0. 30. ...  0.  0.  0.],0.0
110,[ 0.  0.  0. ... 38.  5.  2.],0.0
111,[ 0.  6. 17. ...  0.  0.  0.],0.0
112,[0. 0. 0. ... 0. 0. 0.],0.0
113,[19. 19. 32. ...  7.  0.  1.],0.0
114,[ 0.  0.  2. ... 59.  0.  0.],0.0
115,[ 1.  3.  3. ... 11. 11. 32.],0.0
116,[68. 16.  1. ... 39. 81. 11.],0.0
117,[ 2. 62.  5. ... 13.  3.  2.],0.0
118,[6. 7. 6. ... 0. 0. 0.],0.0
119,[6. 1. 0. ... 1. 0. 0.],0.0
120,[ 7.  0.  0. ...  2. 11. 12.],0.0
121,[22. 73. 74. ...  0.  0.  0.],0.0
122,[145. 138.   5. ...   2.   0.   3.],0.0
123,[ 2.  0.  0. ...  4.  5. 13.],0.0
124,[ 0.  0.  0. ...  2.  7. 16.],0.0
125,[ 7.  1. 11. ... 86. 88.  2.],0.0
126,[14. 13.  1. ...  0.  0.  2.],0.0
127,[24. 71. 94. ...  6.  5.  1.],0.0
128,[35. 98. 17. ...  3. 13. 30.],0.0
129,[13. 21. 54. ... 47. 12.  6.],0.0
130,[ 1.  5. 20. ...  0.  4. 98.],0.0
131,[2. 1. 8. ... 2. 2. 0.],0.0
132,[1. 0. 0. ... 1. 0. 1.],0.0
133,[33.  1.  0. ...  3.  1. 18.],0.0
134,[18. 23.  6. ... 15.  7.  0.],0.0
135,[ 5. 11.  2. ...  2.  2.  5.],0.0
136,[67. 23. 40. ...  0.  3.  1.],0.0
137,[ 0.  0.  0. ...  0.  4. 16.],0.0
138,[41. 23. 29. ...  2.  3.  4.],0.0
139,[0. 0. 0. ... 0. 0. 0.],0.0
140,[23.  3.  3. ...  0.  0. 32.],0.0
141,[  0.   5. 121. ...   0.   0.   0.],0.0
142,[16.  1.  0. ...  0.  0.  0.],0.0
143,[0. 0. 0. ... 9. 4. 0.],0.0
144,[14. 51. 44. ...  0.  0.  0.],0.0
145,[12. 22. 55. ...  5.  0.  0.],0.0
146,[126.  81.   0. ...  24.   6.   0.],0.0
147,[28.  2.  0. ...  0.  1. 10.],0.0
148,[38. 25. 47. ...  0.  0.  0.],0.0
149,[ 9.  1.  0. ... 10.  6.  8.],0.0
150,[3. 0. 0. ... 0. 0. 0.],0.0
151,[0. 0. 9. ... 0. 0. 1.],0.0
152,[ 3.  0.  0. ... 17. 17. 23.],0.0
153,[ 7. 27. 43. ...  2.  9. 13.],0.0
154,[29. 20.  6. ...  0.  0.  1.],0.0
155,[6. 0. 1. ... 0. 0. 9.],0.0
156,[ 0.  0.  0. ...  2. 23. 13.],0.0
157,[20. 45. 16. ...  0.  0.  0.],0.0
158,[58. 43.  5. ... 49.  4.  6.],0.0
159,[ 0.  0.  0. ... 23.  4.  9.],0.0
160,[0. 0. 1. ... 0. 0. 0.],0.0
161,[1. 0. 0. ... 3. 0. 0.],0.0
162,[64.  8.  1. ...  0.  1.  7.],0.0
163,[ 2.  1. 49. ...  0.  0.  0.],0.0
164,[49. 37.  9. ...  1.  0.  1.],0.0
165,[ 8. 20. 23. ...  0.  0.  0.],0.0
166,[ 0.  1.  7. ...  0.  8. 12.],0.0
167,[95. 10.  1. ...  0.  0.  0.],0.0
168,[14.  7.  3. ... 10.  0.  1.],0.0
169,[0. 0. 0. ... 0. 0. 0.],0.0
170,[40. 23.  0. ... 78.  9.  0.],0.0
171,[0. 0. 0. ... 9. 0. 0.],0.0
172,[47.  0.  0. ...  0.  0.  8.],0.0
173,[35.  2.  0. ...  0.  0.  0.],0.0
174,[71. 29. 22. ...  0.  0.  2.],0.0
175,[ 49. 104.  46. ...   0.   0.   2.],0.0
176,[140.  42.   1. ...   0.   0.   1.],0.0
177,[12.  1.  0. ...  0.  0.  1.],0.0
178,[ 5.  6. 20. ...  5.  0.  0.],0.0
179,[0. 1. 0. ... 5. 0. 0.],0.0
180,[0. 0. 0. ... 0. 0. 0.],0.0
181,[ 6.  6.  3. ... 10.  0.  1.],0.0
182,[0. 0. 0. ... 0. 0. 0.],0.0
183,[43. 41. 13. ...  0.  0.  0.],0.0
184,[0. 0. 0. ... 0. 1. 3.],0.0
185,[ 4.  1.  0. ...  9. 11. 15.],0.0
186,[ 0.  0.  0. ...  0.  0. 11.],0.0
187,[ 0. 21. 13. ...  0.  6. 79.],0.0
188,[22. 10.  1. ... 35. 24. 14.],0.0
189,[ 4. 37. 81. ... 52.  3.  0.],0.0
190,[ 0.  0.  0. ... 21. 11.  6.],0.0
191,[0. 0. 0. ... 0. 0. 0.],0.0
192,[1. 0. 0. ... 0. 0. 0.],0.0
193,[46. 40. 63. ...  0.  0.  1.],0.0
194,[2. 0. 0. ... 0. 0. 0.],0.0
195,[19.  7.  8. ... 20.  2.  2.],0.0
196,[24. 58. 27. ...  0.  0.  0.],0.0
197,[29.  3. 45. ...  2.  4. 22.],0.0
198,[37.  2.  0. ...  8. 53.  7.],0.0
199,[ 6. 26. 33. ...  0.  1. 15.],0.0
200,[64.  0.  1. ... 11.  0.  1.],0.0
201,[45. 42.  3. ...  0.  0.  0.],0.0
202,[  0.   9. 114. ...  76.   5.  13.],0.0
203,[0. 0. 0. ... 0. 0. 0.],0.0
204,[124.  37.   0. ...   0.   0.   0.],0.0
205,[0. 2. 9. ... 0. 0. 0.],0.0
206,[0. 0. 0. ... 0. 0. 0.],0.0
207,[0. 0. 0. ... 2. 0. 0.],0.0
208,[ 0.  0.  0. ... 10.  9. 13.],0.0
209,[ 1.  6.  2. ...  1.  6. 17.],0.0
210,[ 2. 20. 26. ...  0.  9. 66.],0.0
211,[3. 0. 0. ... 0. 0. 0.],0.0
212,[0. 0. 0. ... 1. 2. 7.],0.0
213,[67. 44.  3. ...  0.  5.  8.],0.0
214,[ 3. 32. 23. ...  0.  0.  1.],0.0
215,[1. 0. 0. ... 0. 1. 4.],0.0
216,[46. 15. 13. ...  5. 11. 29.],0.0
217,[ 0.  0.  0. ...  0.  2. 18.],0.0
218,[5. 1. 0. ... 1. 0. 0.],0.0
219,[ 0.  0.  0. ... 32.  0.  0.],0.0
220,[0. 0. 0. ... 0. 0. 2.],0.0
221,[ 0.  0.  0. ... 36.  8.  1.],0.0
222,[7. 5. 0. ... 0. 0. 0.],0.0
223,[28.  5.  6. ...  0.  0.  0.],0.0
224,[128.  91.   8. ...   1.   0.   0.],0.0
225,[10.  1.  0. ... 25.  4.  1.],0.0
226,[21. 22. 13. ...  0.  1.  0.],0.0
227,[ 4. 41. 83. ...  0. 12. 28.],0.0
228,[ 0.  0. 26. ...  8.  2.  1.],0.0
229,[146.  10.   1. ...   4.   7.   3.],0.0
230,[ 1. 19. 57. ...  0.  0.  0.],0.0
231,[0. 6. 4. ... 4. 3. 3.],0.0
232,[85.  4.  0. ... 91. 60.  1.],0.0
233,[ 1.  0.  0. ... 78.  0.  0.],0.0
234,[139.  62.   5. ...   0.   0.   0.],0.0
235,[ 24.  13.  15. ...  30.  41. 142.],0.0
236,[18. 10.  1. ...  0.  0.  0.],0.0
237,[51. 61. 71. ...  0.  0.  0.],0.0
238,[  1.   0.   0. ...   0.  30. 139.],0.0
239,[0. 0. 0. ... 0. 0. 0.],0.0
240,[ 82.   8.   4. ...   0.  27. 123.],0.0
241,[ 85. 109.  11. ...   0.   0.   1.],0.0
242,[15. 30. 27. ...  1.  1. 17.],0.0
243,[10. 14.  8. ...  0.  1.  3.],0.0
244,[23. 18.  6. ...  0.  2. 25.],0.0
245,[ 0.  8. 80. ... 43. 13.  6.],0.0
246,[9. 3. 0. ... 6. 5. 4.],0.0
247,[ 0.  0.  5. ... 10.  9. 24.],0.0
248,[  0.  12. 132. ...  48.  85.  10.],0.0
249,[13.  4.  5. ...  2.  8. 19.],0.0
250,[ 37.  26.  19. ...   0.  28. 124.],0.0
251,[ 9. 19. 41. ...  3. 28. 91.],0.0
252,[40.  3.  3. ...  0.  0.  0.],0.0
253,[ 6.  0.  0. ... 20.  6.  1.],0.0
254,[ 5. 96. 61. ...  8.  1.  1.],0.0
255,[ 5.  1.  1. ... 10.  0.  0.],0.0
256,[2. 1. 1. ... 1. 0. 4.],0.0
257,[0. 1. 7. ... 0. 7. 4.],0.0
258,[20.  5.  1. ...  5. 18. 13.],0.0
259,[  7.   7.   0. ...   9. 137.  42.],0.0
260,[ 0.  0.  2. ... 20. 26. 23.],0.0
261,[ 0.  0.  0. ...  1. 32. 53.],0.0
262,[ 7. 65. 98. ...  0.  0.  0.],0.0
263,[ 1.  2. 26. ...  0.  0.  4.],0.0
264,[31.  1.  0. ...  1.  1. 55.],0.0
265,[72. 11. 12. ...  0.  0.  2.],0.0
266,[32.  2.  0. ...  3.  0.  4.],0.0
267,[ 0. 46. 50. ...  0.  0.  3.],0.0
268,[ 1.  0.  0. ... 43.  0.  0.],0.0
269,[23. 43. 15. ...  0.  0.  0.],0.0
270,[37. 46. 15. ...  0.  0.  0.],0.0
271,[86. 48.  1. ...  2.  0.  9.],0.0
272,[ 2.  4.  0. ... 17.  1. 23.],0.0
273,[14.  1.  1. ...  0.  0.  0.],0.0
274,[51. 61. 71. ...  0.  0.  0.],0.0
275,[  8. 122. 120. ...   0.   0.   0.],0.0
276,[ 0.  0.  0. ... 13.  1.  4.],0.0
277,[43.  1.  1. ...  1.  0.  2.],0.0
278,[2. 4. 2. ... 0. 4. 9.],0.0
279,[14.  1. 10. ... 14. 24.  6.],0.0
280,[15. 19. 10. ...  5.  9.  9.],0.0
281,[125.  67.   3. ...  30.   1.   1.],0.0
282,[1. 0. 0. ... 0. 0. 0.],0.0
283,[ 0.  0. 20. ...  7.  4.  1.],0.0
284,[ 9. 28.  0. ...  1.  0.  0.],0.0
285,[94. 58.  5. ... 17. 15. 51.],0.0
286,[0. 0. 0. ... 0. 0. 0.],0.0
287,[  0.   0.   0. ... 119.   6.   5.],0.0
288,[ 0.  5. 13. ... 31. 14.  7.],0.0
289,[ 0.  0.  0. ...  2.  3. 14.],0.0
290,[ 0.  3. 37. ...  0.  0. 31.],0.0
291,[0. 0. 0. ... 0. 0. 0.],0.0
292,[ 0.  0.  0. ... 23.  4. 14.],0.0
293,[55.  0.  0. ... 19.  0.  1.],0.0
294,[ 13.  39.  72. ...  12.  60. 117.],0.0
295,[0. 0. 0. ... 0. 0. 0.],0.0
296,[0. 0. 0. ... 0. 0. 0.],0.0
297,[0. 0. 0. ... 0. 0. 0.],0.0
298,[ 0.  0.  0. ... 29. 15. 29.],0.0
299,[0. 0. 0. ... 8. 1. 0.],0.0
300,[150.  10.   0. ... 123.  31.  13.],0.0
301,[55.  0.  0. ... 19.  0.  1.],0.0
302,[ 0.  0.  3. ...  0. 17. 50.],0.0
303,[  0.   6. 124. ...   8.  24.  78.],0.0
304,[1. 6. 8. ... 0. 0. 0.],0.0
305,[0. 0. 0. ... 0. 0. 0.],0.0
306,[11.  3. 63. ...  3.  1.  1.],0.0
307,[88. 19. 14. ...  0.  0.  0.],0.0
308,[0. 0. 3. ... 0. 0. 0.],0.0
309,[ 0.  0.  0. ... 38.  5. 18.],0.0
310,[  2.  19. 148. ...  38.   6.   1.],0.0
311,[ 0.  3. 13. ...  0. 19. 54.],0.0
312,[ 6. 17. 22. ...  0.  0.  0.],0.0
313,[77. 50. 12. ...  0.  0.  0.],0.0
314,[38. 61. 71. ...  0.  1. 12.],0.0
315,[0. 0. 0. ... 0. 0. 0.],0.0
316,[ 3. 97. 62. ...  2.  8. 15.],0.0
317,[123.   6.   0. ...  56.  13.   0.],0.0
318,[27. 92. 10. ...  0.  0.  2.],0.0
319,[  0.   0.   0. ...  32. 142.  71.],0.0
320,[ 66. 119.  10. ...   0.   0.   0.],0.0
321,[ 1.  3. 25. ...  0.  0.  0.],0.0
322,[  0.   2.  10. ... 137.   9.   2.],0.0
323,[0. 0. 0. ... 0. 0. 0.],0.0
324,[0. 0. 0. ... 0. 0. 1.],0.0
325,[0. 0. 0. ... 2. 1. 0.],0.0
326,[119.   0.   0. ...  18.  13.   1.],0.0
327,[ 0.  0.  0. ... 10.  4.  2.],0.0
328,[0. 0. 0. ... 0. 0. 1.],0.0
329,[41.  1.  0. ...  0.  0.  0.],0.0
330,[13. 13.  5. ...  5. 31. 10.],0.0
331,[28. 31.  0. ...  0.  2. 28.],0.0
332,[87. 44. 58. ...  0.  0.  0.],0.0
333,[15. 60.  5. ... 24. 38. 52.],0.0
334,[0. 0. 0. ... 0. 0. 0.],0.0
335,[ 4.  2. 10. ...  2.  0.  3.],0.0
336,[ 6.  3. 50. ...  1.  0.  1.],0.0
337,[50.  1.  0. ...  0.  0.  0.],0.0
338,[145.  25.   2. ...   7.   1.   6.],0.0
339,[ 0.  0.  0. ... 35.  1. 12.],0.0
340,[8. 7. 5. ... 1. 0. 0.],0.0
341,[ 0.  0. 15. ... 52. 18. 10.],0.0
342,[ 1.  2. 40. ...  1.  1.  4.],0.0
343,[ 0.  0.  0. ... 14.  1. 11.],0.0
344,[0. 0. 5. ... 0. 0. 3.],0.0
345,[35.  2.  0. ...  0.  0.  0.],0.0
346,[  6.  42. 146. ...   2.   8.  63.],0.0
347,[ 70.  57. 115. ...   8.  25.  45.],1.0
348,[ 23.  63. 146. ...   0.   0.   0.],1.0
349,[2. 1. 1. ... 9. 0. 3.],1.0
350,[2. 5. 0. ... 0. 0. 2.],1.0
351,[  5.  42. 105. ...  11.   1.   0.],1.0
352,[  6.   5.   5. ...   0.  14. 136.],1.0
353,[10.  4.  2. ... 41.  6.  0.],1.0
354,[99. 26.  0. ...  0.  0.  0.],1.0
355,[0. 0. 0. ... 0. 9. 0.],1.0
356,[5. 1. 0. ... 0. 0. 1.],1.0
357,[ 0.  0.  0. ... 13. 14. 14.],1.0
358,[ 17. 122.  57. ...   6.  35.  84.],1.0
359,[ 9.  6. 18. ...  0.  0. 95.],1.0
360,[ 83. 144.   1. ...  28.  50.  23.],1.0
361,[ 6. 20. 12. ...  4.  8. 28.],1.0
362,[ 19. 144.  47. ...   0.   0.   0.],1.0
363,[ 0.  2. 91. ... 59.  1.  0.],1.0
364,[80.  3.  4. ...  2.  0.  0.],1.0
365,[84. 60.  1. ...  0.  0.  0.],1.0
366,[ 1.  0.  0. ... 69. 43.  7.],1.0
367,[45. 20.  9. ...  0.  2. 53.],1.0
368,[ 7.  6.  7. ... 76. 61.  8.],1.0
369,[45. 51.  7. ...  2.  1.  3.],1.0
370,[109.  44.   6. ...   0.   0.   0.],1.0
371,[58. 21. 40. ...  7.  6.  4.],1.0
372,[19. 11. 14. ...  0.  0. 14.],1.0
373,[20.  1.  1. ...  0.  0.  0.],1.0
374,[ 1.  1.  1. ...  2. 15. 40.],1.0
375,[ 0.  3. 49. ... 54. 16.  6.],1.0
376,[89. 21.  7. ...  0.  0. 16.],1.0
377,[2. 1. 2. ... 0. 0. 0.],1.0
378,[12. 89. 34. ... 17.  1.  0.],1.0
379,[132.  98.   0. ...   3.   1.   0.],1.0
380,[12.  5.  0. ...  3.  1.  4.],1.0
381,[ 0.  0.  1. ... 19. 13.  1.],1.0
382,[2. 2. 0. ... 0. 0. 0.],1.0
383,[1. 0. 0. ... 1. 0. 0.],1.0
384,[14. 52.  9. ...  0.  9. 29.],1.0
385,[ 4.  3. 10. ...  1.  0.  0.],1.0
386,[88. 23.  7. ...  0.  0.  0.],1.0
387,[37. 53. 43. ...  5.  0.  0.],1.0
388,[ 43. 133.  39. ...   8.  18.  38.],1.0
389,[ 1.  3.  3. ... 12.  0.  0.],1.0
390,[  3.   4.  24. ...   9.  32. 101.],1.0
391,[88. 67. 16. ...  1. 20. 46.],1.0
392,[6. 1. 3. ... 0. 0. 0.],1.0
393,[0. 0. 0. ... 0. 0. 1.],1.0
394,[ 2.  1. 12. ...  9.  4.  2.],1.0
395,[ 3.  0.  0. ... 14.  3.  1.],1.0
396,[ 5.  2. 12. ... 53. 11.  1.],1.0
397,[25. 13.  3. ... 51. 20.  0.],1.0
398,[ 0.  0.  1. ... 10.  9.  2.],1.0
399,[1. 0. 7. ... 1. 0. 0.],1.0
400,[0. 0. 0. ... 1. 1. 1.],1.0
401,[ 1.  0.  0. ... 10.  1.  1.],1.0
402,[ 8.  0.  0. ... 42.  0.  0.],1.0
403,[0. 0. 4. ... 1. 0. 0.],1.0
404,[ 14. 152.  71. ...   0.   0.   0.],1.0
405,[7. 4. 6. ... 0. 2. 9.],1.0
406,[  1.  41. 147. ...   0.   0.   0.],1.0
407,[ 2.  3. 12. ... 15. 30. 19.],1.0
408,[ 4. 41. 32. ...  0.  1.  1.],1.0
409,[0. 0. 6. ... 0. 1. 0.],1.0
410,[12.  7.  2. ...  0.  0.  2.],1.0
411,[13.  8. 12. ...  0.  0.  0.],1.0
412,[0. 1. 1. ... 4. 2. 2.],1.0
413,[ 9.  4. 11. ...  0.  0.  0.],1.0
414,[15. 12. 15. ...  1. 15. 66.],1.0
415,[0. 0. 0. ... 0. 0. 0.],1.0
416,[ 0.  1.  2. ... 10.  8.  1.],1.0
417,[ 96. 147.  18. ...  54.  39.   1.],1.0
418,[46. 24.  3. ...  0.  0.  0.],1.0
419,[113.  14.   1. ...   0.   0.   1.],1.0
420,[ 31.  16.  22. ...   1. 126.  72.],1.0
421,[ 5.  9.  4. ...  1.  3. 89.],1.0
422,[17.  0.  0. ...  3.  5.  1.],1.0
423,[2. 4. 7. ... 6. 2. 1.],1.0
424,[26. 48. 17. ...  6.  7.  1.],1.0
425,[67.  2.  0. ...  0.  0.  0.],1.0
426,[ 8. 39. 44. ...  3.  0.  2.],1.0
427,[15.  7.  0. ...  9.  1.  1.],1.0
428,[42. 30.  3. ... 39.  5.  0.],1.0
429,[100.  13.   1. ...   6.   7.   6.],1.0
430,[18. 11.  5. ...  6.  0.  0.],1.0
431,[  2.   9. 101. ...   0.   0.   1.],1.0
432,[60. 89. 28. ... 22. 34. 25.],1.0
433,[ 34. 174.  32. ...   0.   0.   6.],1.0
434,[13. 12.  5. ...  0.  0.  0.],1.0
435,[ 20.   5.   2. ...   0.  36. 125.],1.0
436,[ 0.  6. 74. ...  0.  0.  1.],1.0
437,[ 9. 76. 36. ...  0.  0.  0.],1.0
438,[92.  3.  0. ... 26.  0.  1.],1.0
439,[27. 18.  0. ...  0.  1.  1.],1.0
440,[32.  1.  0. ...  0.  0.  0.],1.0
441,[169.   8.   1. ...   3.  10.  85.],1.0
442,[10. 17.  0. ...  0.  0.  0.],1.0
443,[49.  1.  1. ... 39. 17.  1.],1.0
444,[ 0.  0.  0. ... 12. 37. 65.],1.0
445,[ 0.  0.  0. ...  1. 17. 44.],1.0
446,[132.  47.   3. ...   0.   0.   0.],1.0
447,[0. 0. 0. ... 0. 0. 0.],1.0
448,[ 0. 10. 30. ...  0.  0.  0.],1.0
449,[ 26.  22.   1. ...   1.  17. 105.],1.0
450,[ 34. 108.   0. ...  23.  48.  51.],1.0
451,[17.  3.  4. ... 26.  5.  4.],1.0
452,[46. 25. 30. ...  0.  0.  0.],1.0
453,[10.  1.  0. ...  0.  0.  0.],1.0
454,[107.   9.   0. ...   1.   0.   1.],1.0
455,[14. 16. 15. ... 16. 11.  2.],1.0
456,[ 2.  0.  1. ... 14. 22. 63.],1.0
457,[11.  1.  0. ...  0.  0.  0.],1.0
458,[83. 57.  6. ...  0. 53. 69.],1.0
459,[1. 0. 0. ... 0. 0. 0.],1.0
460,[1. 0. 0. ... 0. 0. 0.],1.0
461,[45.  0.  0. ...  0.  0.  0.],1.0
462,[36. 29.  4. ... 34. 34.  6.],1.0
463,[32. 13.  1. ...  2.  2.  3.],1.0
464,[ 0.  3. 23. ...  0.  0.  0.],1.0
465,[ 43. 153.  83. ...   0.   0.   0.],1.0
466,[ 84. 118.  36. ...   0.   0.   3.],1.0
467,[ 3. 16. 32. ...  2.  0.  0.],1.0
468,[0. 0. 0. ... 2. 0. 0.],1.0
469,[ 3. 22.  8. ...  0.  0.  1.],1.0
470,[10. 10.  6. ...  2. 15.  8.],1.0
471,[0. 5. 8. ... 0. 0. 0.],1.0
472,[61. 29. 10. ...  1.  1.  3.],1.0
473,[ 5. 58. 53. ...  0.  0.  0.],1.0
474,[20.  0.  0. ...  1.  1.  9.],1.0
475,[ 1. 13. 45. ... 48. 20. 12.],1.0
476,[ 0. 53. 44. ... 13.  2.  9.],1.0
477,[126.  85.   1. ...   4.   7.  21.],1.0
478,[ 1.  0.  8. ... 24. 38. 24.],1.0
479,[14.  2.  0. ...  1.  0.  0.],1.0
480,[ 81. 158.   3. ...   1.   4.   5.],1.0
481,[17.  0.  0. ... 51.  2.  7.],1.0
482,[72. 22.  4. ... 10.  3.  2.],1.0
483,[13. 10.  1. ... 27. 19.  6.],1.0
484,[4. 1. 0. ... 0. 0. 0.],1.0
485,[134. 100.  14. ...   0.   0.   0.],1.0
486,[10.  0.  0. ...  1.  0.  0.],1.0
487,[2. 2. 0. ... 0. 2. 1.],1.0
488,[ 15. 119.  87. ...  85. 122. 130.],1.0
489,[0. 0. 7. ... 0. 0. 8.],1.0
490,[2. 3. 0. ... 0. 0. 0.],1.0
491,[ 31.  15.   9. ...   3.  47. 144.],1.0
492,[ 1.  1. 27. ...  2.  8. 11.],1.0
493,[152.   2.   0. ...   0.   0.   0.],1.0
494,[26.  5. 10. ...  4. 10.  0.],1.0
495,[0. 0. 0. ... 0. 0. 0.],1.0
496,[26.  7. 42. ...  0.  0.  0.],1.0
497,[27. 34. 28. ...  0.  0.  0.],1.0
498,[ 3.  2.  0. ...  0.  0. 18.],1.0
499,[41. 41. 67. ...  2. 10. 38.],1.0
500,[0. 0. 0. ... 0. 0. 0.],1.0
501,[24. 52.  0. ... 36. 17.  4.],1.0
502,[45. 25. 20. ...  5. 34. 17.],1.0
